Index,No.,Player ,Category,Lever ,Stategy  ,Game price ,Hazard_tax,"Environment Score
 ",Economic score  ,Social Score,Drought ,Flood,Wildfire ,Description ,SDG 2,SDG 13
1,1,Policymaker,Biological Threat management  ,"Bolster the resilience of crops against  Pest ,disease ",Promote Credit Facilities for Farmers to Purchase Pesticides,50,0,Low ,High,Low,bad,bad,bad,"Facilitating access to credit for farmers to acquire pesticides, enabling them to effectively manage pests and diseases on their crops.",medium,low
2,2,Policymaker,Biological Threat management  ,"Bolster the resilience of crops against  Pest ,disease ",Enhancing Research Capacity  for Biological Control Agents ,10,40,High ,Medium ,Medium,no effect,no effect,no effect,"Our policy prioritizes building research capacity for biological control agents. By investing in research, we aim to unlock their full potential in pest management. This initiative will drive innovation, promoting sustainable agricultural practices while minimizing environmental impact.",low,medium
3,3,Policymaker,Biological Threat management  ,"Bolster the resilience of crops against  Pest ,disease ",Subsidies for Preventive Cultural Techniques,50,0,Medium ,Medium ,High,good,fair,good,"Cultural methods such as crop rotation, deep tillage, removal of weeds, and adjusting sowing/harvesting time should be followed to maximize prevention of pests and diseases.",medium,high
4,4,Policymaker,Water management ,Ehance Water Use Efficiency,Promote Credit Facilities for Precision Sprinklers,50,0,High ,Low ,Medium ,good,no effect,good,"Facilitating access to credit for farmers to invest in precision sprinkler systems like  Drip Irrigation and Root Zone Watering,  That optimize water distribution, directly contributing to improved water use efficiency.",high ,high 
5,5,Policymaker,Water management ,Face Water scarcity ,"Subsidies for new water source : Dam, desalinisation plant and Water Treatment Plant",100,20,High ,Low,High ,good,good,good,"Initiating awareness campaigns to address farm water pollution is a crucial step in promoting sustainable farming. These campaigns educate individuals about potential pollution risks from agricultural practices and highlight responsible approaches to waste management, pesticide use, and water conservation. By raising awareness, we encourage informed choices that contribute to cleaner water sources and a more resilient environment. Through these efforts, we can drive positive change in farming practices, ensuring the protection of our water resources for generations to come.



",high ,high 
6,6,Policymaker,Water management ,Increasing local  water availability,Enhancing Research Capacity  for drought-tolerant crop selections,10,0,Low ,Medium ,High ,good,bad,good,"Through increased investment in research, the goal is to identify and develop crop varieties that can thrive despite water scarcity. This endeavor holds the potential to reshape agricultural practices, ensuring food security even in regions prone to arid conditions. By enhancing research capacity, a significant advancement is anticipated in comprehending the genetic traits and adaptations that contribute to drought tolerance. This understanding will provide valuable guidance for farmers in their choice of crop varieties, enabling them to navigate water scarcity and fortify agricultural resilience for the future.",high,high
7,7,Policymaker,Fertility and sutainability soil management  ,Reducing health and environmental risks  of the pratice ,Set limits for inorganic Fertilizers,50,0,High ,High ,Medium ,good,fair,bad,"implementing limits for inorganic fertilizer usage as a policy maker holds the potential to foster environmentally sustainable agricultural practices. While the policy offers several environmental and long-term benefits, there are challenges to address, including potential yield impacts, transition difficulties, and economic considerations. Crafting a well-balanced policy with supportive measures for farmers' adoption of alternative practices is essential for achieving the desired environmental and agricultural outcomes.",medium,high
8,8,Policymaker,Resilience against disasters,Climate Uncertainty and Variability,Subsidized Crop Insurance,100,0,Low,Medium ,High ,good,good,good,"Safeguard farmers against the unpredictability of climate-related events, such as droughts, floods, and storms. Crop insurance provides a safety net, reducing the financial risks associated with crop losses due to extreme weather.",high,low
9,9,Policymaker,Resilience against disasters,Lack of Resources and Infrastructure,Training for Early Warning Systems,15,0,Medium ,High ,High ,good,good,good," Empower farmers with knowledge on setting up and effectively utilizing early warning systems. Training programs help them anticipate climatic changes and make informed decisions about planting, irrigation, and harvesting.",high,high 
10,10,Policymaker,Modernize Farming Techniques,Modernize Agriculture: Responsible Integration and Awareness,Subsidizing Greenhouses for Controlled Cultivation,70,0,Medium ,High ,Medium ,good,good,good," Provide subsidies for greenhouse construction to enable controlled-environment cultivation. Greenhouses extend growing seasons, protect crops from adverse weather, and optimize resource use for sustainable agriculture.",high,high 
