Index,No.,Player ,Category,Lever ,Stategy  ,Game price,Environmental hazard score,Environment Score ,Economic Score ,Social Score,Drought ,Flood,Wildfire,Description 
1,1,Policymaker,Biological Threat management  ,"Bolster the resilience of crops against  Pest ,disease ",Promote Credit Facilities for Farmers to Purchase Pesticides,5,0,-30,100,-30,-30,-30,-30,"Facilitating access to credit for farmers to acquire pesticides, enabling them to effectively manage pests and diseases on their crops."
2,2,Policymaker,Biological Threat management  ,"Bolster the resilience of crops against  Pest ,disease ",Enhancing Research Capacity  for Biological Control Agents ,1,4,100,50,50,0,0,0,"Our policy prioritizes building research capacity for biological control agents. By investing in research, we aim to unlock their full potential in pest management. This initiative will drive innovation, promoting sustainable agricultural practices while minimizing environmental impact."
3,3,Policymaker,Biological Threat management  ,"Bolster the resilience of crops against  Pest ,disease ",Subsidies for Preventive Cultural Techniques,5,0,50,50,100,100,50,100,"Cultural methods such as crop rotation, deep tillage, removal of weeds, and adjusting sowing/harvesting time should be followed to maximize prevention of pests and diseases."
4,4,Policymaker,Water management ,Ehance Water Use Efficiency,Promote Credit Facilities for Precision Sprinklers,5,0,100,-30,50,100,0,100,"Facilitating access to credit for farmers to invest in precision sprinkler systems like  Drip Irrigation and Root Zone Watering,  That optimize water distribution, directly contributing to improved water use efficiency."
5,5,Policymaker,Water management ,Face Water scarcity ,"Subsidies for new water source : Dam, desalinisation plant and Water Treatment Plant",10,2,100,-30,100,100,100,100,"Initiating awareness campaigns to address farm water pollution is a crucial step in promoting sustainable farming. These campaigns educate individuals about potential pollution risks from agricultural practices and highlight responsible approaches to waste management, pesticide use, and water conservation. By raising awareness, we encourage informed choices that contribute to cleaner water sources and a more resilient environment. Through these efforts, we can drive positive change in farming practices, ensuring the protection of our water resources for generations to come.



"
6,6,Policymaker,Water management ,Increasing local  water availability,Enhancing Research Capacity  for drought-tolerant crop selections,1,0,-30,50,100,100,-30,100,"Through increased investment in research, the goal is to identify and develop crop varieties that can thrive despite water scarcity. This endeavor holds the potential to reshape agricultural practices, ensuring food security even in regions prone to arid conditions. By enhancing research capacity, a significant advancement is anticipated in comprehending the genetic traits and adaptations that contribute to drought tolerance. This understanding will provide valuable guidance for farmers in their choice of crop varieties, enabling them to navigate water scarcity and fortify agricultural resilience for the future."
7,7,Policymaker,Fertility and sutainability soil management  ,Reducing health and environmental risks  of the pratice ,Set limits for inorganic Fertilizers,5,0,100,100,50,100,50,-30,"implementing limits for inorganic fertilizer usage as a policy maker holds the potential to foster environmentally sustainable agricultural practices. While the policy offers several environmental and long-term benefits, there are challenges to address, including potential yield impacts, transition difficulties, and economic considerations. Crafting a well-balanced policy with supportive measures for farmers' adoption of alternative practices is essential for achieving the desired environmental and agricultural outcomes."
8,8,Policymaker,Resilience against disasters,Climate Uncertainty and Variability,Subsidized Crop Insurance,10,0,-30,-30,100,100,100,100,"Safeguard farmers against the unpredictability of climate-related events, such as droughts, floods, and storms. Crop insurance provides a safety net, reducing the financial risks associated with crop losses due to extreme weather."
9,9,Policymaker,Resilience against disasters,Lack of Resources and Infrastructure,Training for Early Warning Systems,2,0,50,100,100,100,100,100," Empower farmers with knowledge on setting up and effectively utilizing early warning systems. Training programs help them anticipate climatic changes and make informed decisions about planting, irrigation, and harvesting."
10,10,Policymaker,Modernize Farming Techniques,Modernize Agriculture: Responsible Integration and Awareness,Subsidizing Greenhouses for Controlled Cultivation,7,0,50,100,50,100,100,100," Provide subsidies for greenhouse construction to enable controlled-environment cultivation. Greenhouses extend growing seasons, protect crops from adverse weather, and optimize resource use for sustainable agriculture."
11,11,Policymaker,Water Management,Increasing local  water availability,Subsidize High-Water Usage,3,1,-30,-30,50,-30,-30,-30,Provide subsidies for high-water usage in agriculture
12,12,Policymaker,Fertility and Sustainability Soil Management,Soil Degradation and Erosion,Promote Heavy Tilling,3,1,-30,100,50,-30,-30,-30,Encourage heavy tilling practices
13,13,Policymaker,Resilience against Disasters,Climate Uncertainty and Variability,Promote Flood-Resistant Crop Adoption,3,0,100,100,100,-30,100,0,Encourage farmers to plant flood-resistant crop varieties and provide financial incentives for adopting these resilient crops
14,1,Community Leader,Biological Threat management  ,Increase the Community Engagement  for  Biological Threat,Setting up Demonstration Farms for Integrated Pest Management,6,0,100,50,50,100,100,100,"Our policy emphasizes the creation of demonstration farms dedicated to Integrated Pest Management (IPM). These farms will exemplify sustainable pest control methods, including biological solutions, crop rotation, and monitoring systems. By showcasing these practices, we aim to educate and motivate farmers to adopt eco-friendly pest management approaches that enhance both productivity and environmental health."
15,2,Community Leader,Biological Threat management  ,Enhancing the Resource sharing  for  Biological Threat,Implement Local Seed Banks,1,0,100,50,100,0,0,0,Establish local seed banks to preserve and share pest-resistant crop varieties.
16,3,Community Leader,Biological Threat management  ,Enhancing collective resilience against  Biological Threat,Organize Pest and Disease Management Workshops,1,1,100,-30,100,100,100,50,Ensure diverse genetic resources that can withstand pest and disease pressures.
